Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
31,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Angel.txt"")",0.9843823909759521,1150,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
32,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Baby,_Please_Dont_Go.txt"")",0.9843778610229492,918,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
33,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Black_Cherry.txt"")",1.2656347751617432,1537,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
34,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Eat_The_Rich.txt"")",1.8281583786010742,2260,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
35,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_F.I.N.E..txt"")",1.5156254768371582,2391,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
36,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Hollywood.txt"")",1.5000016689300537,2018,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
37,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Just_Push_Play.txt"")",1.156249761581421,1445,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
38,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Milkcow_Blues.txt"")",0.593775749206543,690,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
39,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Monkey_On_My_Back.txt"")",0.7187697887420654,772,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
40,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Prelude_To_Joanie.txt"")",0.4375145435333252,584,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
41,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Push_Comes_To_Shove.txt"")",1.016096591949463,1449,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
42,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Red_House.txt"")",0.500004768371582,717,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
43,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Same_Old_Song_And_Dance.txt"")",0.9062497615814209,1227,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
44,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Sight_For_Sore_Eyes.txt"")",0.6719021797180176,1028,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
45,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Somebody.txt"")",0.4062485694885254,761,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
46,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_St._John.txt"")",4.953127861022949,5118,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
47,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Sunshine.txt"")",0.9565074443817139,1253,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
48,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_The_Farm.txt"")",1.65964674949646,2128,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
49,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_The_Grind.txt"")",0.9844067096710205,1276,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
50,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_The_Reason_A_Dog.txt"")",0.7500014305114746,1275,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
51,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Title_Fly_Away_From_Here.txt"")",0.984386682510376,1524,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
