Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
88,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Still_Goin_Strong.txt"")",1.5937328338623047,1088,coref,1
89,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_The_Closer_You_Get.txt"")",2.7656283378601074,1486,coref,1
90,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_The_End_Of_The_Lyin.txt"")",2.305915594100952,911,coref,1
91,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_(The_System_Of)_Doctor_Tarr_And_Professor_Fether.txt"")",1.9062585830688477,1140,coref,1
92,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_Dont_Let_The_Moment_Pass.txt"")",1.3125004768371582,884,coref,1
93,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_Games_People_Play.txt"")",2.171877861022949,1386,coref,1
94,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_I_Cant_Look_Down.txt"")",1.3592941761016846,980,coref,1
95,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_I_Wouldnt_Want_To_Be_Like_You.txt"")",0.59375,532,coref,1
96,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_Nothing_Left_To_Lose.txt"")",0.7445290088653564,628,coref,1
97,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_One_Day_To_Fly.txt"")",3.474550247192383,1624,coref,1
98,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_One_Good_Reason.txt"")",3.0000081062316895,1263,coref,1
99,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_Standing_On_Higher_Ground.txt"")",1.1718833446502686,796,coref,1
100,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_The_Ring.txt"")",1.828077793121338,1261,coref,1
101,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_The_Same_Old_Sun.txt"")",2.109334945678711,1468,coref,1
102,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_The_Voice.txt"")",1.468749761581421,833,coref,1
103,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_Too_Close_To_The_Sun.txt"")",2.7031314373016357,1296,coref,1
104,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_Vulture_Culture.txt"")",3.095006227493286,1527,coref,1
105,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_We_Play_The_Game.txt"")",1.2031428813934326,839,coref,1
